ticker,n_months,mean_pred_return,mean_actual_return,mae,rmse,directional_accuracy,pred_actual_corr,avg_pred_rank,avg_actual_rank,avg_rank_error,topk_hits,pred_topk_count,actual_topk_count
PSON.L,11,0.005214284432977246,-0.021065876666250618,0.036826082571297825,0.050381360517245545,0.45454545454545453,0.1914635270915185,42.36363636363637,61.45454545454545,26.363636363636363,0,1,0
TSCO.L,11,0.004830138323345737,0.0178683918720798,0.046656988272502635,0.05939608644796094,0.6363636363636364,0.4752487950627029,62.45454545454545,43.09090909090909,26.454545454545453,1,1,1
RKT.L,11,0.0044508140415661195,0.012342523558381046,0.035990104485400146,0.05254805784184709,0.5454545454545454,0.19542630003794906,67.63636363636364,48.36363636363637,26.90909090909091,0,0,1
VOD.L,11,0.004551689808290873,0.03381186169656305,0.034521807438463746,0.04091201419562649,0.9090909090909091,0.2957900421801763,60.90909090909091,34.45454545454545,27.0,0,0,2
HSBA.L,11,0.004788439634889119,0.03187704706823411,0.04892891116007851,0.060464639355292144,0.8181818181818182,0.05231974425475523,54.09090909090909,38.09090909090909,27.454545454545453,0,0,3
ICG.L,11,0.007373945751053144,-0.008877799828765225,0.06265195820680314,0.07943181944510394,0.45454545454545453,0.42155503352499485,31.727272727272727,55.36363636363637,27.454545454545453,1,4,2
BP.L,2,0.0042028241348715,0.00857977565499465,0.011436594217363249,0.0122455457984581,0.5,1.0,57.0,29.5,27.5,0,0,0
DCC.L,11,0.004911240494497663,-0.015686327749750997,0.03358807147299323,0.04059259872024986,0.36363636363636365,-0.1572636167184002,55.81818181818182,60.0,27.636363636363637,0,1,0
KGF.L,11,0.006213269132404872,0.025267367019456075,0.05524645807976263,0.07784875690475605,0.6363636363636364,0.07379084653042217,35.72727272727273,44.27272727272727,27.636363636363637,1,3,4
PCT.L,11,0.006042594392631626,0.0234458878268213,0.07627044487852627,0.08891802467043111,0.6363636363636364,0.5078123806891243,38.0,40.63636363636363,27.727272727272727,2,4,5
EXPN.L,11,0.004710753520451045,-0.013651510136915136,0.04192649110928536,0.04639326629774695,0.36363636363636365,0.3104120839370742,55.0,60.45454545454545,27.818181818181817,0,1,0
SDLF.L,11,0.00442595336069369,0.032672651948120295,0.041336110283497554,0.04824752967410872,0.8181818181818182,0.6909382264374577,60.90909090909091,36.27272727272727,28.09090909090909,0,0,3
MRO.L,11,0.012344742325147973,0.0023033461817225623,0.08328502633295713,0.10927304189963459,0.5454545454545454,-0.00015009923170948314,23.818181818181817,49.72727272727273,28.09090909090909,2,5,2
NG.L,11,0.004166938752262746,0.014995813247184558,0.024856156662645446,0.03349726190835453,0.6363636363636364,-0.03010653252646243,73.63636363636364,45.72727272727273,28.272727272727273,0,0,1
LSEG.L,11,0.005764785033498364,-0.02472196530394249,0.050654296266576825,0.06410730487161168,0.2727272727272727,0.6134989107386191,46.36363636363637,62.63636363636363,28.818181818181817,1,2,1
SBRY.L,11,0.004408900780860847,0.02501831046013938,0.05212918264874092,0.06680160187800323,0.7272727272727273,-0.13607563747052784,61.63636363636363,41.63636363636363,29.09090909090909,0,0,2
PSN.L,11,0.005671265306404292,0.008720093863562163,0.05792880125090332,0.06742506368483947,0.5454545454545454,0.22005167984866916,44.0,50.72727272727273,29.454545454545453,1,3,2
RR.L,10,0.01218867607854891,0.05997010403920644,0.08440309725367581,0.10578947163108403,0.7,-0.5946272201013262,9.1,32.3,29.8,4,9,5
UU.L,11,0.004603999606585291,0.015774347418289685,0.03538105346463725,0.04473351340059256,0.5454545454545454,-0.40236986193566815,61.0,48.27272727272727,29.818181818181817,1,2,2
SDR.L,11,0.005618769387343383,0.014815697867396664,0.04091452696871801,0.0480463580989583,0.6363636363636364,0.010842241677849395,53.18181818181818,44.72727272727273,29.90909090909091,0,1,2
PSH.L,11,0.005268328520398527,0.012257815470176526,0.04881844155970951,0.06147765861921119,0.5454545454545454,0.26187648908179206,59.0,45.18181818181818,30.363636363636363,0,1,2
ADM.L,11,0.00429870045180629,0.01692665107570755,0.04609172955084029,0.05857902405022497,0.5454545454545454,-0.27902544634354687,62.18181818181818,47.27272727272727,30.727272727272727,0,0,3
HLMA.L,11,0.00481652986530191,0.015388379118307345,0.043117258804776286,0.05432722706809478,0.7272727272727273,0.07633404632517139,55.72727272727273,46.45454545454545,30.90909090909091,0,1,1
NWG.L,11,0.004731318970541991,0.039658514498761815,0.058216501080976084,0.06653481464043749,0.7272727272727273,-0.16303800020583836,51.09090909090909,36.18181818181818,30.90909090909091,0,1,3
BA.L,11,0.0064880254783573005,0.0354586759830171,0.08705259489221988,0.09872022364237855,0.5454545454545454,-0.01451719536808635,24.454545454545453,41.36363636363637,30.90909090909091,2,4,4
STJ.L,11,0.0092740171036678,0.027937477601961413,0.0546744613123586,0.07298137497393742,0.6363636363636364,0.15286718749182548,16.181818181818183,42.09090909090909,31.545454545454547,3,8,4
HIK.L,11,0.00640677831540129,-0.03235173997313653,0.06745125805499536,0.0792663368369761,0.2727272727272727,0.4722460282105502,35.18181818181818,66.27272727272727,31.636363636363637,1,3,1
