date,ticker,y_next_1m,pred_return,pred_rank,actual_rank,rank_error,pred_topk,actual_topk,topk_hit,pred_minus_actual
2025-03-31,AV.L,0.0091256289414944,0.0035169252728712,87,52,35,False,False,False,-0.0056087036686232
2025-03-31,SSE.L,0.0614806030125807,0.0035079495185604,88,31,57,False,False,False,-0.0579726534940203
2025-03-31,NG.L,0.072808339285735,0.0034979256175887,89,25,64,False,False,False,-0.0693104136681463
2025-03-31,BLND.L,0.0649702674962349,0.0034703683956811,90,30,60,False,False,False,-0.0614998991005538
2025-03-31,MNDI.L,-0.0122971349013656,0.0033712777868688,91,57,34,False,False,False,0.0156684126882344
2025-03-31,MNG.L,0.0448362350307607,0.0018676830798803,92,38,54,False,False,False,-0.0429685519508804
2025-04-30,BRBY.L,0.4303483069660203,0.0395516536934704,1,1,0,True,True,True,-0.39079665327254987
2025-04-30,BNZL.L,0.0112866444162984,0.0295371580165797,2,68,66,True,False,False,0.0182505136002813
2025-04-30,MRO.L,0.0795664207453765,0.0261831564247417,3,28,25,True,False,False,-0.053383264320634796
2025-04-30,ICG.L,0.0692963670080093,0.019970498435746,4,36,32,True,False,False,-0.0493258685722633
2025-04-30,SPX.L,-0.0272339656603756,0.0174935361338277,5,84,79,True,False,False,0.0447275017942033
2025-04-30,RR.L,0.1485017119199583,0.0170825175089886,6,9,3,True,True,True,-0.13141919441096972
2025-04-30,IHG.L,0.0695039032267652,0.0164844652173641,7,35,28,True,False,False,-0.05301943800940109
2025-04-30,ENT.L,0.1772271582084319,0.015864016777588,8,4,4,True,True,True,-0.1613631414308439
2025-04-30,AAL.L,0.0867423378593179,0.015762238202473,9,25,16,True,False,False,-0.0709800996568449
2025-04-30,PCT.L,0.1317157712305028,0.0155760102462534,10,12,2,True,True,True,-0.11613976098424938
2025-04-30,STJ.L,0.1866481611544659,0.0151962987928212,11,2,9,True,True,True,-0.1714518623616447
2025-04-30,FRES.L,0.1606786188212536,0.0148402315467176,12,7,5,True,True,True,-0.145838387274536
2025-04-30,JD.L,0.0705015025101394,0.013829485074622,13,33,20,True,False,False,-0.0566720174355174
2025-04-30,BARC.L,0.1034366511330191,0.0134444190042053,14,18,4,True,True,True,-0.0899922321288138
2025-04-30,STAN.L,0.0762081961586853,0.0133882529854909,15,32,17,True,False,False,-0.0628199431731944
2025-04-30,INF.L,0.0793276925482451,0.013207308540778,16,29,13,True,False,False,-0.06612038400746709
2025-04-30,ANTO.L,0.0842008496956934,0.0125272889759313,17,26,9,True,False,False,-0.0716735607197621
2025-04-30,BAB.L,0.164179036489966,0.0118136398002639,18,6,12,True,True,True,-0.15236539668970212
2025-04-30,PSH.L,0.0994865102630042,0.0116230093995738,19,20,1,True,False,False,-0.08786350086343041
