date,n_stocks,n_top,n_bottom,top_avg_realized_return,all_avg_realized_return,bottom_avg_realized_return,top_minus_all,all_minus_bottom,top_minus_bottom,top_gt_all,bottom_lt_all,top_gt_bottom,model
2025-06-30,94,18,18,0.040669446875691746,0.020733771083650085,0.006295029743050452,0.01993567579204166,0.014438741340599633,0.03437441713264129,1.0,1.0,1.0,RF daily_ohlcv
2025-07-31,94,18,18,0.028384297555261086,-0.0022524091667620216,-0.0049440223316076625,0.030636706722023108,0.002691613164845641,0.03332831988686875,1.0,1.0,1.0,RF daily_ohlcv
2025-08-31,94,18,18,0.0684353480448673,0.029898289320032644,0.04091640138252365,0.03853705872483465,-0.011018112062491005,0.027518946662343648,1.0,0.0,1.0,RF daily_ohlcv
2025-09-30,94,18,18,0.011787155183690287,0.030476688454233725,0.055185159041565755,-0.018689533270543436,-0.02470847058733203,-0.04339800385787547,0.0,0.0,0.0,RF daily_ohlcv
2025-10-31,94,18,18,0.0020267368132176945,-0.009374750649834998,-0.0007688534360406013,0.011401487463052692,-0.008605897213794397,0.002795590249258296,1.0,0.0,1.0,RF daily_ohlcv
2025-11-30,91,18,18,0.04520966929754238,0.022418505095901535,0.016663774663965753,0.022791164201640846,0.005754730431935782,0.028545894633576627,1.0,1.0,1.0,RF daily_ohlcv
2025-01-31,93,18,18,0.010361112030951719,0.007464659223213297,0.0013000727128254458,0.002896452807738422,0.0061645865103878515,0.009061039318126273,1.0,1.0,1.0,XGBoost daily
2025-02-28,93,18,18,-0.04313441863457711,-0.03238264198687845,-0.040918153716442335,-0.010751776647698656,0.008535511729563884,-0.002216264918134772,0.0,1.0,0.0,XGBoost daily
2025-03-31,92,18,18,0.04006182825297491,0.023078523358766197,0.026556801979407914,0.016983304894208715,-0.0034782786206417164,0.013505026273566999,1.0,0.0,1.0,XGBoost daily
2025-04-30,92,18,18,0.1160139935903634,0.05700199991802513,0.04470804631368934,0.059011993672338274,0.012293953604335793,0.07130594727667407,1.0,1.0,1.0,XGBoost daily
2025-05-31,93,18,18,0.03612946646683449,0.014996840700512023,0.01299481874823719,0.021132625766322466,0.0020020219522748333,0.023134647718597297,1.0,1.0,1.0,XGBoost daily
