date,ticker,in_predicted_top,in_actual_top,in_predicted_bottom,in_actual_bottom,y_pred,y_true,model
2025-08-31,ITRK.L,0,0,0,0,0.0028543668635714,0.0069468371258913,Ridge daily_ohlcv
2025-08-31,JD.L,1,0,0,0,0.0303535208047052,-0.0074983844004236,Ridge daily_ohlcv
2025-08-31,KGF.L,0,1,0,0,0.0120851084918644,0.1993007569303262,Ridge daily_ohlcv
2025-08-31,LAND.L,0,0,0,0,0.0095993006112861,0.0505414362765557,Ridge daily_ohlcv
2025-08-31,LGEN.L,0,0,0,0,0.0017759904343992,-0.0383838383838384,Ridge daily_ohlcv
2025-08-31,LLOY.L,0,0,1,0,-0.0076344640267195,0.0540744922011382,Ridge daily_ohlcv
2025-08-31,LMP.L,0,0,0,0,0.0001128440161991,-0.0124864755260161,Ridge daily_ohlcv
2025-08-31,LSEG.L,1,0,0,1,0.0134410648381096,-0.0711169622371907,Ridge daily_ohlcv
2025-08-31,MKS.L,0,0,0,0,0.0052661414450415,0.0552982980952274,Ridge daily_ohlcv
2025-08-31,MNDI.L,1,0,0,0,0.014759020748201,-0.0168027157779693,Ridge daily_ohlcv
2025-08-31,MNG.L,0,0,0,1,0.0038553872219213,-0.0453951599738862,Ridge daily_ohlcv
2025-08-31,MRO.L,0,0,0,0,0.0100154284949816,0.0353740935878379,Ridge daily_ohlcv
2025-08-31,NG.L,0,0,1,0,-0.0009675942294739,0.0254562568769542,Ridge daily_ohlcv
2025-08-31,NWG.L,0,0,0,0,0.0015706193799248,0.0215432187567301,Ridge daily_ohlcv
2025-08-31,NXT.L,0,0,0,0,0.0093132344130084,0.0351317509093382,Ridge daily_ohlcv
2025-08-31,PCT.L,0,1,0,0,0.0091640026789033,0.0992462311557784,Ridge daily_ohlcv
2025-08-31,PRU.L,0,0,0,0,0.0069469884230254,0.0530664914189431,Ridge daily_ohlcv
2025-08-31,PSH.L,0,0,1,0,-0.0009504401616394,0.0695410411720807,Ridge daily_ohlcv
2025-08-31,PSN.L,1,1,0,0,0.01613098721,0.0903104978976365,Ridge daily_ohlcv
2025-08-31,PSON.L,0,0,0,0,0.0029523606755455,-0.0190343966342148,Ridge daily_ohlcv
2025-08-31,REL.L,0,0,0,0,0.0085214243442455,0.0322112594312249,Ridge daily_ohlcv
2025-08-31,RIO.L,0,0,0,0,0.0060806308828925,0.0528866994659247,Ridge daily_ohlcv
2025-08-31,RKT.L,0,0,1,0,-0.0127767578557654,0.0339963775964673,Ridge daily_ohlcv
2025-08-31,RMV.L,1,0,0,1,0.0145151959898781,-0.0465013750936474,Ridge daily_ohlcv
2025-08-31,RR.L,0,1,0,0,0.0120713114522936,0.1121495327102801,Ridge daily_ohlcv
2025-08-31,RTO.L,1,0,0,0,0.0163301595690849,0.0295890344060039,Ridge daily_ohlcv
2025-08-31,SBRY.L,0,1,0,0,0.0005366419708453,0.1155644196152878,Ridge daily_ohlcv
2025-08-31,SDLF.L,0,0,0,1,0.0093589138148276,-0.0553669259796751,Ridge daily_ohlcv
2025-08-31,SDR.L,0,0,0,0,0.0028096446648777,-0.0105262777384389,Ridge daily_ohlcv
2025-08-31,SGE.L,1,0,0,0,0.0151404851228327,0.0124252999323664,Ridge daily_ohlcv
2025-08-31,SGRO.L,1,0,0,0,0.0131844815958418,0.0452951375110943,Ridge daily_ohlcv
2025-08-31,SHEL.L,0,0,1,0,-0.002546389502264,-0.0284508516179544,Ridge daily_ohlcv
2025-08-31,SMIN.L,0,0,0,0,0.0038156817870405,-0.0016978168009961,Ridge daily_ohlcv
2025-08-31,SMT.L,0,0,1,0,-0.0021511637952047,0.0359744871412874,Ridge daily_ohlcv
2025-08-31,SPX.L,0,0,1,1,-0.0123297151331975,-0.0657985042301514,Ridge daily_ohlcv
2025-08-31,SSE.L,0,0,0,0,0.008274437166715,0.0066474026374525,Ridge daily_ohlcv
2025-08-31,STAN.L,0,0,0,0,0.0080889125236575,0.0357142731285295,Ridge daily_ohlcv
2025-08-31,STJ.L,0,0,0,0,0.0111934029803486,0.0007880018232457,Ridge daily_ohlcv
2025-08-31,SVT.L,0,0,0,0,0.0046766876483631,0.0007734374881964,Ridge daily_ohlcv
2025-08-31,TSCO.L,0,0,1,0,-0.0004330134699012,0.0539389444334206,Ridge daily_ohlcv
2025-08-31,ULVR.L,0,0,1,1,-0.0047086732666257,-0.0541701677372744,Ridge daily_ohlcv
2025-08-31,UU.L,0,0,0,0,0.0055031026694244,-0.0030435059557929,Ridge daily_ohlcv
2025-08-31,VOD.L,0,0,1,0,-0.0081273778960172,-0.024898135081777,Ridge daily_ohlcv
2025-08-31,WEIR.L,0,1,0,0,0.0069494588449754,0.108766189207885,Ridge daily_ohlcv
2025-08-31,WTB.L,0,0,0,0,0.004426936496001,0.0238473535837175,Ridge daily_ohlcv
2025-09-30,AAF.L,1,1,0,0,0.0229871440665661,0.1336065856741024,Ridge daily_ohlcv
2025-09-30,AAL.L,1,0,0,0,0.0142033905252765,0.0323159671238408,Ridge daily_ohlcv
2025-09-30,ABF.L,0,1,0,0,0.0063828730790211,0.1189662907114788,Ridge daily_ohlcv
2025-09-30,ADM.L,0,0,0,1,0.0098149980283373,-0.022673031026253,Ridge daily_ohlcv
2025-09-30,ALW.L,0,0,1,0,0.0009620829148307,0.0222575879265514,Ridge daily_ohlcv
2025-09-30,ANTO.L,1,0,0,0,0.0240904172093073,0.0141766368981313,Ridge daily_ohlcv
2025-09-30,AUTO.L,0,0,0,0,0.0106511845726087,-0.0098958943182366,Ridge daily_ohlcv
2025-09-30,AV.L,0,0,0,1,0.0010244457082826,-0.0250801478315367,Ridge daily_ohlcv
2025-09-30,AZN.L,0,1,0,0,0.0028908132531768,0.115185061514816,Ridge daily_ohlcv
2025-09-30,BA.L,0,0,0,1,0.0082733430801566,-0.0912408373952262,Ridge daily_ohlcv
2025-09-30,BAB.L,1,0,0,1,0.0289787868329424,-0.0879699432378851,Ridge daily_ohlcv
2025-09-30,BARC.L,0,0,0,0,0.009844889307301,0.0293680991237517,Ridge daily_ohlcv
2025-09-30,BATS.L,1,0,0,0,0.0147958564309374,-0.0107422481127439,Ridge daily_ohlcv
2025-09-30,BBOX.L,0,0,1,0,-0.002236992174818,0.0387543324961454,Ridge daily_ohlcv
2025-09-30,BEZ.L,0,0,0,0,0.006026239401198,0.025909557740638,Ridge daily_ohlcv
2025-09-30,BKG.L,0,0,0,0,0.0120562998737569,0.0500521376433784,Ridge daily_ohlcv
2025-09-30,BLND.L,0,1,0,0,0.0122442348798645,0.0901780865848638,Ridge daily_ohlcv
2025-09-30,BNZL.L,0,0,0,1,0.0083528135659962,-0.0144927068643418,Ridge daily_ohlcv
2025-09-30,BRBY.L,1,0,0,0,0.0441327579608977,0.0595034246575338,Ridge daily_ohlcv
2025-09-30,BT-A.L,0,0,1,1,-0.00043090153245,-0.0282500282422838,Ridge daily_ohlcv
2025-09-30,BTRW.L,0,0,0,1,0.0082615989583692,-0.0345807615847523,Ridge daily_ohlcv
2025-09-30,CCEP.L,0,0,0,0,0.0065773546592646,0.0103857663519568,Ridge daily_ohlcv
2025-09-30,CCH.L,0,0,0,0,0.0056411823858343,-0.0142694063926945,Ridge daily_ohlcv
2025-09-30,CNA.L,0,1,1,0,0.0009778951256353,0.0762304858186109,Ridge daily_ohlcv
2025-09-30,CPG.L,0,0,0,0,0.0042947932302173,-0.003163360380307,Ridge daily_ohlcv
2025-09-30,CRDA.L,0,0,0,0,0.0074045253780552,0.0676775525324169,Ridge daily_ohlcv
2025-09-30,CTEC.L,0,0,0,0,0.0054616108001723,0.0553154901416872,Ridge daily_ohlcv
2025-09-30,DCC.L,0,0,0,0,0.0104250529621732,0.0498742181745164,Ridge daily_ohlcv
