trial_number,XGB_N_ESTIMATORS,XGB_MAX_DEPTH,XGB_LEARNING_RATE,XGB_SUBSAMPLE,XGB_COLSAMPLE_BYTREE,XGB_REG_ALPHA,XGB_REG_LAMBDA,XGB_MIN_CHILD_WEIGHT,XGB_GAMMA,RMSE_mean,RMSE_std,DirectionalAccuracy_mean,DirectionalAccuracy_std,SpearmanRankCorr_mean,SpearmanRankCorr_std,TopKHitRate_mean,TopKHitRate_std,Months_evaluated_mean,CombinedScore_mean
39,400,2,0.029038885939911573,0.8998087315924654,0.7693407352162309,0.20331586413439162,4.985845810026402,6,0.7728366533147124,0.08176111422115202,0.013124509290280816,0.5240377096160974,0.042907881158105884,-0.01929038680457251,0.06339697921399956,0.206812865497076,0.032012302970354234,18.0,0.32852023296454924
32,500,4,0.0052808497595429995,0.6112044566247643,0.9290402242638633,0.7203812828225258,1.5082420506075391,13,0.7699935530986108,0.08163914371090648,0.01297707304689537,0.5240377096160974,0.042907881158105884,-0.014415355737553074,0.06468626872220652,0.20406432748538011,0.04229019451320492,18.0,0.32840624813352226
30,800,5,0.023641956461579277,0.8739721657669415,0.8045369595443751,1.0030325893743992,4.193180715867101,15,0.7019668772577033,0.08178664446104753,0.013146218393319203,0.522333164161552,0.041277330129166415,-0.022823185043769564,0.0659647316616351,0.20847953216374265,0.03010187409642168,18.0,0.3279667947129072
36,400,2,0.028406421008370097,0.7040552674219865,0.7700652318239981,0.15918343708382893,4.891620750934275,7,0.7836296211490168,0.08178796495175726,0.01314013956228366,0.522333164161552,0.041277330129166415,-0.022248063542122262,0.07105518396026876,0.206812865497076,0.026813957581693276,18.0,0.327415039509555
3,600,4,0.005433947661434237,0.7822634555704315,0.6682096494749166,0.13010318597055903,4.7955421490133325,20,0.8083973481164611,0.08168829054076891,0.01303719358558905,0.5240377096160974,0.042907881158105884,-0.0071716932974444205,0.07848851181511135,0.1979239766081871,0.03186990312742399,18.0,0.32739463967397986
37,400,2,0.02722406798076315,0.6999823683050865,0.7737425087025644,0.28312661589656696,4.760342624736984,7,0.7961073858470548,0.08174299135587358,0.013091210247076174,0.522333164161552,0.041277330129166415,-0.017966057554863232,0.06701232987391303,0.19961988304093567,0.033899943451277254,18.0,0.3253980909103194
34,600,3,0.020784765837628522,0.6812496753786222,0.7755885682822544,0.15691276268453191,1.10140297366183,20,0.8359801205122058,0.0817420902046971,0.013076435888629483,0.522333164161552,0.041277330129166415,-0.01808179990818023,0.06752705804292242,0.19961988304093567,0.033899943451277254,18.0,0.32537501945013697
26,400,4,0.008269007184069022,0.6072947899294361,0.858188918362867,0.3542213588140979,4.761834337411657,20,0.9148643902204485,0.08160104377868072,0.012952081031109711,0.5250604368888248,0.04401583256285678,-0.015698393921577035,0.05740414919343522,0.19567251461988305,0.030585375359298072,18.0,0.3251029902095074
14,800,5,0.005062672258097654,0.7532241907732697,0.7669644012595116,0.4442156209414605,1.4794614693347312,10,0.9429097039125192,0.08161398646639602,0.012966365749276048,0.5250604368888248,0.04401583256285678,-0.018098658081162615,0.04834940877068868,0.19347953216374267,0.02763072804160298,18.0,0.32374463806413784
8,300,5,0.017742382194617125,0.8187021504122962,0.9085081386743783,0.14808930346818072,2.4338629141770904,6,0.8631034258755935,0.08174121837414224,0.013096021662641113,0.522333164161552,0.041277330129166415,-0.023699832488908435,0.05786191703886482,0.19403508771929823,0.026833639366189065,18.0,0.3220175693102608
12,400,2,0.008403117953477104,0.6483663861762013,0.9718790609370292,1.616240759128834,3.533615026041694,18,0.8036720768991145,0.08157727793274347,0.012922624825730622,0.528924073252461,0.04894503620368302,-0.04639523331579815,0.060582881296831904,0.19403508771929823,0.026833639366189065,18.0,0.31946977403470933
21,400,2,0.024953965381309135,0.8701254171489992,0.8532405829093072,0.6780595820974014,2.3968382984506436,16,0.8971102599525771,0.08170166545106963,0.013056912663421997,0.522333164161552,0.041277330129166415,-0.04294508452194214,0.05523711967710351,0.19347953216374267,0.02763072804160298,18.0,0.3179496769227652
33,400,4,0.005826171184808728,0.6155045163505823,0.8125418526272592,1.081270243220213,3.549719605992826,16,0.9758520794625346,0.081553359034978,0.01289973242915759,0.528924073252461,0.04894503620368302,-0.05461771617606947,,0.1939766081871345,0.020821762458245057,18.0,0.31780393037832166
11,300,2,0.015638444804668205,0.694306794322898,0.8034282764658811,1.815132947852186,1.9971689165954998,11,0.7555511385430487,0.08162085661741658,0.012961511155048563,0.5240377096160974,0.042907881158105884,-0.052698694904728324,0.05166844042786899,0.19514619883040935,0.028549491088297404,18.0,0.3171838919398025
5,700,3,0.012695844231167396,0.7640130838029839,0.6739417822102108,1.9391692555291171,4.100531293444458,20,0.8948273504276488,0.08154871663432497,0.012892926275424783,0.528924073252461,0.04894503620368302,,,0.1961988304093567,0.018783278437286676,18.0,
