number,value,datetime_start,datetime_complete,duration,params_XGB_COLSAMPLE_BYTREE,params_XGB_GAMMA,params_XGB_LEARNING_RATE,params_XGB_MAX_DEPTH,params_XGB_MIN_CHILD_WEIGHT,params_XGB_N_ESTIMATORS,params_XGB_REG_ALPHA,params_XGB_REG_LAMBDA,params_XGB_SUBSAMPLE,user_attrs_CombinedScore_mean,user_attrs_DirectionalAccuracy_mean,user_attrs_RMSE_mean,user_attrs_SpearmanRankCorr_mean,user_attrs_TopKHitRate_mean,state
14,,2026-04-01 13:51:21.725019,2026-04-01 13:51:22.451443,0 days 00:00:00.726424,0.7669644012595116,0.9429097039125192,0.005062672258097654,5,10,800,0.4442156209414605,1.4794614693347312,0.7532241907732697,,0.5250604368888248,0.08161398646639602,,0.19347953216374267,FAIL
15,,2026-04-01 13:51:22.452573,2026-04-01 13:51:22.978720,0 days 00:00:00.526147,0.9887128330883843,0.30087830981676966,0.017620778267449785,4,12,500,1.9248945898842225,2.0071291833014566,0.7090888807137882,,0.5207427704283012,0.08187309565090725,,0.2335964912280702,FAIL
16,0.35051585091598375,2026-04-01 13:51:22.979866,2026-04-01 13:51:23.455088,0 days 00:00:00.475222,0.6205915004999957,0.1448948720912231,0.014904014108833356,2,8,400,0.5572929284732229,4.633063543866615,0.7508037069686584,0.35051585091598375,0.5200613400839014,0.08197040252459545,0.0028235349150260033,0.2537719298245614,COMPLETE
17,,2026-04-01 13:51:23.455939,2026-04-01 13:51:24.183629,0 days 00:00:00.727690,0.9046478461314871,0.6323058305935795,0.007714816781929305,5,10,600,0.47527508798479934,3.9128653944474383,0.8016406642217636,,0.5226740732524611,0.08177769863296723,,0.22190058479532165,FAIL
18,,2026-04-01 13:51:24.185539,2026-04-01 13:51:24.973538,0 days 00:00:00.787999,0.7283120259886944,0.6775643618422824,0.005877993504265669,4,14,700,0.37303702079970846,1.1631005662190557,0.8505907486767714,,0.5226740732524611,0.08177035301945892,,0.22187134502923983,FAIL
19,0.34520368410235663,2026-04-01 13:51:24.974869,2026-04-01 13:51:25.441425,0 days 00:00:00.466556,0.6697465716019966,0.13752094414599325,0.0075027068021560435,4,19,300,1.381875476204932,2.5469413852021496,0.793551837122835,0.34520368410235663,0.5206296503017729,0.0819344323369515,-0.011213315334454663,0.24707602339181284,COMPLETE
20,,2026-04-01 13:51:25.442344,2026-04-01 13:51:25.925654,0 days 00:00:00.483310,0.7031766510860622,0.5296505783560065,0.02621328803538685,2,13,500,1.319968092068358,4.268888800804863,0.8632018060142943,,0.5208558914342792,0.08178813474728115,,0.22190058479532165,FAIL
21,,2026-04-01 13:51:25.926783,2026-04-01 13:51:26.367219,0 days 00:00:00.440436,0.8532405829093072,0.8971102599525771,0.024953965381309135,2,16,400,0.6780595820974014,2.3968382984506436,0.8701254171489992,,0.522333164161552,0.08170166545106963,,0.19347953216374267,FAIL
22,0.34745426642670557,2026-04-01 13:51:26.368359,2026-04-01 13:51:27.226600,0 days 00:00:00.858241,0.6646514856378455,0.1014715428660321,0.01579674954668221,5,5,900,1.7971083770541585,3.4257162386383597,0.6252419894985146,0.34745426642670557,0.5189242034110504,0.08208529939153121,-0.0016068071705314258,0.24921052631578947,COMPLETE
23,0.34324339418225563,2026-04-01 13:51:27.227515,2026-04-01 13:51:27.872689,0 days 00:00:00.645174,0.8767580790770773,0.23724908749680007,0.006669649176310936,2,16,700,1.303922519005201,1.8970772378422391,0.7646201368099759,0.34324339418225563,0.5199475735616756,0.08193304927336355,-0.011805106081536893,0.24298245614035086,COMPLETE
24,0.34133964864821453,2026-04-01 13:51:27.873593,2026-04-01 13:51:28.419409,0 days 00:00:00.545816,0.8630451569201374,0.26520236768172545,0.016013366997884686,4,10,500,1.1366172066709432,1.37469907131237,0.8547670231482534,0.34133964864821453,0.5207427704283012,0.08191141367887878,-0.009134057777254938,0.23628654970760232,COMPLETE
25,,2026-04-01 13:51:28.420316,2026-04-01 13:51:28.852788,0 days 00:00:00.432472,0.8524554503989051,0.4925176938188639,0.010112522253118327,5,14,400,1.5896226070832968,3.0105483724207684,0.8676139665531339,,0.5210835511195205,0.08178354697578952,,0.2207602339181287,FAIL
26,,2026-04-01 13:51:28.853907,2026-04-01 13:51:29.380342,0 days 00:00:00.526435,0.858188918362867,0.9148643902204485,0.008269007184069022,4,20,400,0.3542213588140979,4.761834337411657,0.6072947899294361,,0.5250604368888248,0.08160104377868072,,0.19567251461988305,FAIL
27,,2026-04-01 13:51:29.381585,2026-04-01 13:51:29.903555,0 days 00:00:00.521970,0.9866619276174678,0.38509772860192526,0.02638409819070802,2,9,500,1.9272399541785057,4.41203782186944,0.7284552444951943,,0.5199480897987837,0.08185349847827783,,0.22912280701754387,FAIL
28,,2026-04-01 13:51:29.904759,2026-04-01 13:51:30.789711,0 days 00:00:00.884952,0.9744619096643123,0.6150072266991697,0.006774246523072677,3,6,800,1.392059593349946,3.28024468035746,0.7670403787375051,,0.5226740732524611,0.08173954690272331,,0.22187134502923977,FAIL
29,,2026-04-01 13:51:30.790951,2026-04-01 13:51:31.702885,0 days 00:00:00.911934,0.8963074471016818,0.29359184426449336,0.012656361513845587,2,10,900,1.394031481990536,3.809936335948437,0.8632119215783867,,0.5206291340646647,0.08192950029948456,,0.23953216374269007,FAIL
30,,2026-04-01 13:51:31.704209,2026-04-01 13:51:32.525837,0 days 00:00:00.821628,0.8045369595443751,0.7019668772577033,0.023641956461579277,5,15,800,1.0030325893743992,4.193180715867101,0.8739721657669415,,0.522333164161552,0.08178664446104753,,0.2084795321637427,FAIL
31,,2026-04-01 13:51:32.527022,2026-04-01 13:51:33.286161,0 days 00:00:00.759139,0.6375927759363476,0.5426446347075766,0.009161811629489541,5,12,800,1.156560281992348,1.1437690951869683,0.7126748857919832,,0.5226740732524611,0.08175546871805912,,0.22967836257309943,FAIL
32,,2026-04-01 13:51:33.287489,2026-04-01 13:51:33.807336,0 days 00:00:00.519847,0.9290402242638633,0.7699935530986108,0.0052808497595429995,4,13,500,0.7203812828225258,1.5082420506075391,0.6112044566247643,,0.5240377096160974,0.08163914371090648,,0.2040643274853801,FAIL
33,,2026-04-01 13:51:33.808569,2026-04-01 13:51:34.315198,0 days 00:00:00.506629,0.8125418526272592,0.9758520794625346,0.005826171184808728,4,16,400,1.081270243220213,3.549719605992826,0.6155045163505823,,0.528924073252461,0.08155335903497798,,0.1939766081871345,FAIL
34,,2026-04-01 13:51:34.316546,2026-04-01 13:51:34.903252,0 days 00:00:00.586706,0.7755885682822544,0.8359801205122058,0.020784765837628522,3,20,600,0.15691276268453191,1.10140297366183,0.6812496753786222,,0.522333164161552,0.0817420902046971,,0.19961988304093564,FAIL
35,0.3461371952429081,2026-04-01 13:51:34.904399,2026-04-01 13:51:35.590736,0 days 00:00:00.686337,0.7000971592658382,0.27993389694594284,0.006820546846311143,3,15,700,1.098453329412241,3.8583836908002493,0.6469311128013258,0.3461371952429081,0.520060952246483,0.08189932484072102,0.0032981391752326767,0.24257309941520466,COMPLETE
36,,2026-04-01 13:51:35.591662,2026-04-01 13:51:36.047419,0 days 00:00:00.455757,0.7700652318239981,0.7836296211490168,0.028406421008370097,2,7,400,0.15918343708382893,4.891620750934275,0.7040552674219865,,0.522333164161552,0.08178796495175727,,0.20681286549707606,FAIL
37,,2026-04-01 13:51:36.048598,2026-04-01 13:51:36.528011,0 days 00:00:00.479413,0.7737425087025644,0.7961073858470548,0.02722406798076315,2,7,400,0.28312661589656696,4.760342624736984,0.6999823683050865,,0.522333164161552,0.08174299135587358,,0.19961988304093564,FAIL
38,,2026-04-01 13:51:36.529278,2026-04-01 13:51:36.982912,0 days 00:00:00.453634,0.7874820875551369,0.7926421099078278,0.026808138700557677,2,7,400,0.343172275011563,4.925124343828467,0.8986482752722804,,0.5240377096160974,0.08172269379830299,,0.20570175438596489,FAIL
39,,2026-04-01 13:51:36.984055,2026-04-01 13:51:37.433921,0 days 00:00:00.449866,0.7693407352162309,0.7728366533147124,0.029038885939911573,2,6,400,0.20331586413439162,4.985845810026402,0.8998087315924654,,0.5240377096160974,0.08176111422115204,,0.206812865497076,FAIL
