trial_number,XGB_N_ESTIMATORS,XGB_MAX_DEPTH,XGB_LEARNING_RATE,XGB_SUBSAMPLE,XGB_COLSAMPLE_BYTREE,XGB_REG_ALPHA,XGB_REG_LAMBDA,XGB_MIN_CHILD_WEIGHT,XGB_GAMMA,fold,train_start,train_end,val_start,val_end,RMSE,DirectionalAccuracy,SpearmanRankCorr_mean,TopKHitRate_mean,Months_evaluated
8,300,5,0.017742382194617125,0.8187021504122962,0.9085081386743783,0.14808930346818072,2.4338629141770904,6,0.8631034258755935,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09373975646257186,0.5710942071386775,,0.1735380116959064,18
8,300,5,0.017742382194617125,0.8187021504122962,0.9085081386743783,0.14808930346818072,2.4338629141770904,6,0.8631034258755935,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.0932036808140947,0.5511363636363636,-0.08883427798294562,0.1638888888888889,18
8,300,5,0.017742382194617125,0.8187021504122962,0.9085081386743783,0.14808930346818072,2.4338629141770904,6,0.8631034258755935,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08536970626357661,0.4886621315192744,0.021756511680872063,0.21666666666666667,18
8,300,5,0.017742382194617125,0.8187021504122962,0.9085081386743783,0.14808930346818072,2.4338629141770904,6,0.8631034258755935,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07210697645863351,0.5278725824800911,-0.004021731164651754,0.2260233918128655,18
9,700,3,0.00560309536288792,0.6932946965146987,0.7300733288106989,1.4592123566761281,3.5502298854208525,19,0.4722149251619493,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06430427570682604,0.4729005360333532,,0.19005847953216373,18
9,700,3,0.00560309536288792,0.6932946965146987,0.7300733288106989,1.4592123566761281,3.5502298854208525,19,0.4722149251619493,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09374005476560783,0.5710942071386775,,0.1735380116959064,18
9,700,3,0.00560309536288792,0.6932946965146987,0.7300733288106989,1.4592123566761281,3.5502298854208525,19,0.4722149251619493,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.0934167401998019,0.54375,-0.08254252177583393,0.23055555555555557,18
9,700,3,0.00560309536288792,0.6932946965146987,0.7300733288106989,1.4592123566761281,3.5502298854208525,19,0.4722149251619493,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08524123591498198,0.4886621315192744,0.05793634417952628,0.275,18
9,700,3,0.00560309536288792,0.6932946965146987,0.7300733288106989,1.4592123566761281,3.5502298854208525,19,0.4722149251619493,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07212898398993377,0.5278725824800911,-0.01695418129956096,0.26812865497076027,18
10,300,4,0.019542307433613428,0.7683831592708489,0.9083868719818244,0.9875911927287815,3.0909313175279762,11,0.02541912674409519,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06400438493342774,0.46873138773079215,0.010212897213154541,0.21929824561403508,18
