ticker,n_months,mean_pred_return,mean_actual_return,mae,rmse,directional_accuracy,pred_actual_corr,avg_pred_rank,avg_actual_rank,avg_rank_error,topk_hits,pred_topk_count,actual_topk_count
DPLM.L,11,0.006660809463636364,0.017952060411378826,0.054907007870688765,0.07790145064894569,0.5454545454545454,0.38148725637254527,37.27272727272727,45.0,21.181818181818183,1,2,3
WEIR.L,11,0.0032445068245454543,0.016425466006958,0.05486183023209922,0.06260144653613543,0.6363636363636364,0.04759493594696267,49.09090909090909,42.45454545454545,21.90909090909091,0,0,2
SGRO.L,11,0.00016268885454545436,0.000839128069509464,0.02943198844422137,0.03294000103347641,0.5454545454545454,0.13725995923331485,63.90909090909091,53.81818181818182,22.272727272727273,0,0,0
LAND.L,11,0.001589945649090909,0.007364306779193198,0.04404514914277784,0.05072272721451159,0.7272727272727273,0.3505635926865964,57.27272727272727,48.54545454545455,22.727272727272727,0,0,0
ULVR.L,11,0.0022846385018181824,-0.0011183663040215364,0.030009391922493554,0.03710711768671692,0.36363636363636365,-0.06770811970491654,55.54545454545455,54.90909090909091,23.0,1,2,2
IMB.L,6,0.005617322266666666,0.0149163655411588,0.035226283933796496,0.038835361154322005,0.6666666666666666,0.3164630960345373,38.166666666666664,48.833333333333336,23.0,1,1,2
SHEL.L,11,0.002625339857272727,0.0035532140658904292,0.04276076044620661,0.05603178903795041,0.6363636363636364,0.5365455478832277,55.36363636363637,48.72727272727273,23.363636363636363,0,1,1
HLMA.L,11,0.005574877945454546,0.015388379118307326,0.04384567223758363,0.05452696477401936,0.7272727272727273,-0.05009395242439909,38.45454545454545,46.45454545454545,23.636363636363637,0,2,1
CNA.L,11,0.0034371272309090912,0.016730151534331,0.03213931692203944,0.03941195449461309,0.6363636363636364,-0.060652124412338825,48.45454545454545,44.81818181818182,23.818181818181817,0,1,1
HSX.L,11,0.003501098327272727,0.02618367579544456,0.04382450347340233,0.059962634570836074,0.5454545454545454,0.10876104128888277,49.63636363636363,40.27272727272727,23.90909090909091,0,1,3
MRO.L,11,0.009382011145272727,0.0023033582754763736,0.07931546697332147,0.10657040377879022,0.8181818181818182,0.1868480725969934,45.09090909090909,49.72727272727273,24.09090909090909,0,3,2
LMP.L,11,0.00203242856,0.002102744203561256,0.02664333220935091,0.03311251164852483,0.36363636363636365,-0.004251357490866977,58.63636363636363,52.27272727272727,24.181818181818183,0,0,0
SVT.L,11,0.003039923372727273,0.010420193726741965,0.029190149121936567,0.04080297628212166,0.36363636363636365,0.1053955793481795,52.54545454545455,49.18181818181818,24.454545454545453,0,0,1
ICG.L,11,0.005611514403636364,-0.008877798847996875,0.06147319307255042,0.0767051114533785,0.6363636363636364,0.5275380101467305,42.36363636363637,55.36363636363637,24.636363636363637,2,5,2
LLOY.L,11,0.005155840436363635,0.043446877925159305,0.0416672716900674,0.062143936739089044,0.9090909090909091,-0.01213528116200684,39.54545454545455,34.36363636363637,25.0,0,1,2
AV.L,11,0.0028620294490909093,0.02723625854966847,0.035089459834670926,0.04221800539462116,0.6363636363636364,0.10767546756026987,54.54545454545455,37.63636363636363,25.09090909090909,0,0,1
HSBA.L,11,0.001965134527272727,0.03187705471577651,0.05114692668656345,0.06215506559356983,0.6363636363636364,-0.14219668822663442,58.0,38.09090909090909,25.363636363636363,0,0,3
CRDA.L,7,0.008644058157142857,-0.013158344832270972,0.051544131882232176,0.05862676067909242,0.7142857142857143,0.7788470070076802,39.57142857142857,58.285714285714285,25.571428571428573,1,3,1
SGE.L,11,0.005718222796363637,-0.018587542684469546,0.03944905843516473,0.050419697643777475,0.45454545454545453,0.3183135765163491,38.45454545454545,61.27272727272727,26.09090909090909,0,3,0
TSCO.L,11,0.004770399129090908,0.017868385331796466,0.04786186593787336,0.0604184571544847,0.6363636363636364,-0.04979155598402416,47.18181818181818,43.09090909090909,26.09090909090909,1,2,1
