n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,RMSE_mean,RMSE_std,DirectionalAccuracy_mean,DirectionalAccuracy_std,SpearmanRankCorr_mean,SpearmanRankCorr_std,TopKHitRate_mean,TopKHitRate_std,CombinedScore_mean,CombinedScore_std,Months_evaluated_mean
500,6,20,40,0.5,0.08294252270145454,0.014309862410629917,0.5026733084527543,0.019129593394623636,-0.0030258835452439767,0.0464398084309964,0.2541812865497076,0.03753134982233303,0.17215313655634662,0.019353182331291796,18.0
500,8,10,20,sqrt,0.08286022857217736,0.014296907583274709,0.50343573022939,0.02187166832703666,-0.004158254341908826,0.04377649023595838,0.2537719298245614,0.02852870797917508,0.17189571218456182,0.016772679974824407,18.0
500,8,30,20,sqrt,0.0825556217704697,0.013990906835147537,0.5006921833655811,0.018896376037004628,-0.0019626560464603166,0.0453718015885969,0.252719298245614,0.030336627208341665,0.1715884026933721,0.017989285175898168,18.0
500,8,30,40,sqrt,0.0825556217704697,0.013990906835147537,0.5006921833655811,0.018896376037004628,-0.0019626560464603166,0.0453718015885969,0.252719298245614,0.030336627208341665,0.1715884026933721,0.017989285175898168,18.0
500,6,10,40,0.5,0.08304188096753097,0.014512935649567111,0.5009838541612013,0.023482731177278438,-0.004074523536503856,0.04658741894921396,0.25315789473684214,0.02802875995650835,0.17117502691250283,0.0174715737607371,18.0
300,8,30,40,0.5,0.0830363688336839,0.014296848855198213,0.4998067922343997,0.013355999552640175,-0.004188087254945028,0.04872455203812968,0.2532748538011696,0.03079743514578953,0.17095326169681627,0.01991773022911829,18.0
300,8,30,20,0.5,0.0830363688336839,0.014296848855198213,0.4998067922343997,0.013355999552640175,-0.004188087254945028,0.04872455203812968,0.2532748538011696,0.03079743514578953,0.17095326169681627,0.01991773022911829,18.0
300,6,10,40,0.5,0.08302294084626902,0.014501233771852017,0.5020240873385116,0.022895360051147583,-0.0018340250050349611,0.04672032162399562,0.2501754385964913,0.03537217179166879,0.17090312655596168,0.019754195745936547,18.0
300,8,20,40,0.5,0.08315853412470632,0.014318956947572915,0.4968297427239011,0.014446598002396317,-0.004496971291833553,0.047223738347721186,0.2548830409356725,0.03267447373537838,0.17081906322436596,0.018224877511285223,18.0
300,8,20,20,0.5,0.08315853412470632,0.014318956947572915,0.4968297427239011,0.014446598002396317,-0.004496971291833553,0.047223738347721186,0.2548830409356725,0.03267447373537838,0.17081906322436596,0.018224877511285223,18.0
500,8,30,40,0.5,0.08305045969651553,0.014324910911115148,0.5009457578623813,0.014626140541954836,-0.0057971715709162885,0.05102478365523699,0.2532456140350877,0.032740933484245505,0.17076573165272477,0.021507149916927794,18.0
500,8,30,20,0.5,0.08305045969651553,0.014324910911115148,0.5009457578623813,0.014626140541954836,-0.0057971715709162885,0.05102478365523699,0.2532456140350877,0.032740933484245505,0.17076573165272477,0.021507149916927794,18.0
300,6,30,20,0.5,0.0829074164104857,0.014251345091975605,0.5010739291324147,0.01765961214895536,-0.005420219497703345,0.0501430025380952,0.25201754385964914,0.03761039857970359,0.17048438802083715,0.020754676077177563,18.0
300,6,30,40,0.5,0.0829074164104857,0.014251345091975605,0.5010739291324147,0.01765961214895536,-0.005420219497703345,0.0501430025380952,0.25201754385964914,0.03761039857970359,0.17048438802083715,0.020754676077177563,18.0
300,8,10,40,0.5,0.0832615275338813,0.014521881866235764,0.4985949424479313,0.018898916024205317,-0.005952645095039476,0.04675883500328579,0.252046783625731,0.028807291479870354,0.16979489597805597,0.018365987991747837,18.0
500,6,10,20,0.5,0.08314487941468371,0.014600646834380072,0.5012282118567459,0.02314912170928046,-0.00760850708072314,0.04731763129030324,0.25157894736842107,0.02598751551590446,0.16976717129717905,0.016302084474826367,18.0
500,6,30,20,0.5,0.08291653547014499,0.014266665308816559,0.4979073680094207,0.01910119788363829,-0.0073128359541637265,0.049713275594650025,0.2526608187134503,0.035843976053667174,0.16960124406902183,0.02094114374332181,18.0
500,6,30,40,0.5,0.08291653547014499,0.014266665308816559,0.4979073680094207,0.01910119788363829,-0.0073128359541637265,0.049713275594650025,0.2526608187134503,0.035843976053667174,0.16960124406902183,0.02094114374332181,18.0
500,8,20,40,0.5,0.08314559484346759,0.014316692642894143,0.4974748807702968,0.016947732377024446,-0.006705171249361516,0.045905264282762155,0.25257309941520467,0.03527887137412561,0.16959014916834708,0.019583064705228866,18.0
500,8,20,20,0.5,0.08314559484346759,0.01431669264289414,0.4974748807702968,0.016947732377024446,-0.006705171249361516,0.045905264282762155,0.25257309941520467,0.03527887137412561,0.16959014916834708,0.019583064705228866,18.0
300,6,10,20,0.5,0.0831414366188277,0.014607505331173717,0.49960924821201935,0.02277322004280076,-0.006824355673072166,0.046459260558482825,0.2503216374269006,0.03242425070511537,0.16920004649978548,0.019043231154365094,18.0
500,8,10,40,0.5,0.08327981176113178,0.014550182578931387,0.496373485167676,0.019359872898979846,-0.005150426636292842,0.04647012924677548,0.2502923976608188,0.03080444397061855,0.1689334672035222,0.017668416653167627,18.0
500,8,10,20,0.5,0.08345133851174918,0.014693498319108907,0.49731806106083487,0.01949021601698627,-0.00808260641764284,0.04828234325230816,0.24929824561403507,0.02585641118796692,0.16800707887031874,0.01791531624710318,18.0
300,8,10,20,0.5,0.08343012201733106,0.014683632599803875,0.4966595938858335,0.019148434697054694,-0.007227588303759805,0.04806767730667589,0.24868421052631579,0.02979964702978471,0.16787847098197106,0.018342682251047075,18.0
